TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2014EP,01_002_030,JOBBIK,10
Listas,2014EP,01_002_030,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_030,SMS,0
Listas,2014EP,01_002_031,FIDESZ-KDNP,321
Listas,2014EP,01_002_031,EGYÜTT-PM,129
Listas,2014EP,01_002_031,DEMOKRATIKUS KOALÍCIÓ,69
Listas,2014EP,01_002_031,MSZP,60
Listas,2014EP,01_002_031,LMP,46
Listas,2014EP,01_002_031,JOBBIK,36
Listas,2014EP,01_002_031,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_031,SMS,0
Listas,2014EP,01_002_032,FIDESZ-KDNP,285
Listas,2014EP,01_002_032,EGYÜTT-PM,111
Listas,2014EP,01_002_032,DEMOKRATIKUS KOALÍCIÓ,73
Listas,2014EP,01_002_032,LMP,51
Listas,2014EP,01_002_032,JOBBIK,31
Listas,2014EP,01_002_032,MSZP,26
Listas,2014EP,01_002_032,A HAZA NEM ELADÓ,3
Listas,2014EP,01_002_032,SMS,0
Listas,2014EP,01_002_033,FIDESZ-KDNP,238
Listas,2014EP,01_002_033,EGYÜTT-PM,88
Listas,2014EP,01_002_033,DEMOKRATIKUS KOALÍCIÓ,72
Listas,2014EP,01_002_033,LMP,45
Listas,2014EP,01_002_033,MSZP,31
Listas,2014EP,01_002_033,JOBBIK,22
Listas,2014EP,01_002_033,SMS,1
Listas,2014EP,01_002_033,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_034,FIDESZ-KDNP,198
Listas,2014EP,01_002_034,EGYÜTT-PM,73
Listas,2014EP,01_002_034,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01_002_034,LMP,35
Listas,2014EP,01_002_034,MSZP,21
Listas,2014EP,01_002_034,JOBBIK,16
Listas,2014EP,01_002_034,SMS,2
Listas,2014EP,01_002_034,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_035,FIDESZ-KDNP,272
Listas,2014EP,01_002_035,EGYÜTT-PM,65
